date,Carbon_emission,HourOfDay,DayOfWeek,DayOfMonth,DayOfYear,Month,WeekOfYear
2015-01-01 00:00:00,116,0.0,0.5,0.03225806451612903,0.0027397260273972603,0.08333333333333333,0.019230769230769232
2015-01-01 01:00:00,124,0.043478260869565216,0.5,0.03225806451612903,0.0027397260273972603,0.08333333333333333,0.019230769230769232
2015-01-01 02:00:00,116,0.08695652173913043,0.5,0.03225806451612903,0.0027397260273972603,0.08333333333333333,0.019230769230769232
2015-01-01 03:00:00,104,0.13043478260869565,0.5,0.03225806451612903,0.0027397260273972603,0.08333333333333333,0.019230769230769232
2015-01-01 04:00:00,124,0.17391304347826086,0.5,0.03225806451612903,0.0027397260273972603,0.08333333333333333,0.019230769230769232
2015-01-01 05:00:00,113,0.21739130434782608,0.5,0.03225806451612903,0.0027397260273972603,0.08333333333333333,0.019230769230769232
2015-01-01 06:00:00,92,0.2608695652173913,0.5,0.03225806451612903,0.0027397260273972603,0.08333333333333333,0.019230769230769232
2015-01-01 07:00:00,113,0.30434782608695654,0.5,0.03225806451612903,0.0027397260273972603,0.08333333333333333,0.019230769230769232
2015-01-01 08:00:00,114,0.34782608695652173,0.5,0.03225806451612903,0.0027397260273972603,0.08333333333333333,0.019230769230769232
2015-01-01 09:00:00,117,0.391304347826087,0.5,0.03225806451612903,0.0027397260273972603,0.08333333333333333,0.019230769230769232
2015-01-01 10:00:00,125,0.43478260869565216,0.5,0.03225806451612903,0.0027397260273972603,0.08333333333333333,0.019230769230769232
2015-01-01 11:00:00,116,0.4782608695652174,0.5,0.03225806451612903,0.0027397260273972603,0.08333333333333333,0.019230769230769232
2015-01-01 12:00:00,121,0.5217391304347826,0.5,0.03225806451612903,0.0027397260273972603,0.08333333333333333,0.019230769230769232
2015-01-01 13:00:00,122,0.5652173913043478,0.5,0.03225806451612903,0.0027397260273972603,0.08333333333333333,0.019230769230769232
2015-01-01 14:00:00,115,0.6086956521739131,0.5,0.03225806451612903,0.0027397260273972603,0.08333333333333333,0.019230769230769232
2015-01-01 15:00:00,134,0.6521739130434783,0.5,0.03225806451612903,0.0027397260273972603,0.08333333333333333,0.019230769230769232
2015-01-01 16:00:00,120,0.6956521739130435,0.5,0.03225806451612903,0.0027397260273972603,0.08333333333333333,0.019230769230769232
2015-01-01 17:00:00,111,0.7391304347826086,0.5,0.03225806451612903,0.0027397260273972603,0.08333333333333333,0.019230769230769232
2015-01-01 18:00:00,111,0.782608695652174,0.5,0.03225806451612903,0.0027397260273972603,0.08333333333333333,0.019230769230769232
2015-01-01 19:00:00,112,0.8260869565217391,0.5,0.03225806451612903,0.0027397260273972603,0.08333333333333333,0.019230769230769232
2015-01-01 20:00:00,115,0.8695652173913043,0.5,0.03225806451612903,0.0027397260273972603,0.08333333333333333,0.019230769230769232
2015-01-01 21:00:00,110,0.9130434782608695,0.5,0.03225806451612903,0.0027397260273972603,0.08333333333333333,0.019230769230769232
2015-01-01 22:00:00,107,0.9565217391304348,0.5,0.03225806451612903,0.0027397260273972603,0.08333333333333333,0.019230769230769232
2015-01-01 23:00:00,98,1.0,0.5,0.03225806451612903,0.0027397260273972603,0.08333333333333333,0.019230769230769232
2015-01-02 00:00:00,114,0.0,0.6666666666666666,0.06451612903225806,0.005479452054794521,0.08333333333333333,0.019230769230769232
2015-01-02 01:00:00,103,0.043478260869565216,0.6666666666666666,0.06451612903225806,0.005479452054794521,0.08333333333333333,0.019230769230769232
2015-01-02 02:00:00,110,0.08695652173913043,0.6666666666666666,0.06451612903225806,0.005479452054794521,0.08333333333333333,0.019230769230769232
2015-01-02 03:00:00,96,0.13043478260869565,0.6666666666666666,0.06451612903225806,0.005479452054794521,0.08333333333333333,0.019230769230769232
2015-01-02 04:00:00,148,0.17391304347826086,0.6666666666666666,0.06451612903225806,0.005479452054794521,0.08333333333333333,0.019230769230769232
2015-01-02 05:00:00,98,0.21739130434782608,0.6666666666666666,0.06451612903225806,0.005479452054794521,0.08333333333333333,0.019230769230769232
2015-01-02 06:00:00,105,0.2608695652173913,0.6666666666666666,0.06451612903225806,0.005479452054794521,0.08333333333333333,0.019230769230769232
2015-01-02 07:00:00,112,0.30434782608695654,0.6666666666666666,0.06451612903225806,0.005479452054794521,0.08333333333333333,0.019230769230769232
2015-01-02 08:00:00,115,0.34782608695652173,0.6666666666666666,0.06451612903225806,0.005479452054794521,0.08333333333333333,0.019230769230769232
2015-01-02 09:00:00,135,0.391304347826087,0.6666666666666666,0.06451612903225806,0.005479452054794521,0.08333333333333333,0.019230769230769232
2015-01-02 10:00:00,112,0.43478260869565216,0.6666666666666666,0.06451612903225806,0.005479452054794521,0.08333333333333333,0.019230769230769232
2015-01-02 11:00:00,130,0.4782608695652174,0.6666666666666666,0.06451612903225806,0.005479452054794521,0.08333333333333333,0.019230769230769232
2015-01-02 12:00:00,143,0.5217391304347826,0.6666666666666666,0.06451612903225806,0.005479452054794521,0.08333333333333333,0.019230769230769232
2015-01-02 13:00:00,139,0.5652173913043478,0.6666666666666666,0.06451612903225806,0.005479452054794521,0.08333333333333333,0.019230769230769232
2015-01-02 14:00:00,125,0.6086956521739131,0.6666666666666666,0.06451612903225806,0.005479452054794521,0.08333333333333333,0.019230769230769232
2015-01-02 15:00:00,122,0.6521739130434783,0.6666666666666666,0.06451612903225806,0.005479452054794521,0.08333333333333333,0.019230769230769232
2015-01-02 16:00:00,120,0.6956521739130435,0.6666666666666666,0.06451612903225806,0.005479452054794521,0.08333333333333333,0.019230769230769232
